ID,Area,Year,Lat,Long,UTM_east,UTM_north,UTM_zone,Depth,WL,Elev,TDS,ph,EC,K,Ca,Mg,Na,SO4,Cl,HCO3,Bal,Aq,Fac
SP_342  ,Obs. Sampokong,2003,-6.99599,110.3983,433540,9226652,49M,63,4.09,8,451,6.9,671,25,12.2,0.5,99,22,39.9,235,1.5,Garang,sodium bicarbonate
SB_189  ,PT. Panca Tunggal-1,2003,-6.95993,110.42593,436587,9230642,49M,135,12.14,4,1588,7.19,2370,49,65,26.7,428,46.7,761.4,258.9,-2.6,Quaternary marine,sodium chloride
SB_176  ,Hotel Oewa Asia,2003,-6.97,110.42194,436147,9229528,49M,90,18.7,3,684,7.67,1023,10,25.5,15.3,180,60.5,229.3,202.6,-2,Quaternary marine,sodium chloride
N_1  ,Sendangguwo,2006,-7.01219,110.45528,439836,9224869,49M,100,27.2,25,384,6.96,694,7.5,68,21,51,16.5,41,326,4.8,Damar,calcium bicarbonate
N_2  ,Rowosari,2006,-7.07103,110.47072,441549,9218366,49M,130,8,38,693,6.87,1259,8,18,21,160,21,25,473,4.8,Quaternary marine,sodium bicarbonate
N_3  ,Tandang,2006,-7.01503,110.44448,438643,9224553,49M,100,22,19,382,7.13,694,8,69,20.8,55,17,43,336,4.6,Damar,calcium bicarbonate
N_7  ,Ngalian,2006,-7.00433,110.33926,427020,9225721,49M,100,27,138,540,7.3,982,5.2,86.61,37.72,22,15.2,56,376,2.8,Damar,calcium bicarbonate
SB_213  ,Obs. Pelabuhan,2007,-6.94798,110.42757,436767,9231964,49M,120,28.03,1,1960,7.67,3010,14,197.3,71.8,580,17.2,1241.6,184,3.8,Quaternary marine,sodium chloride
SB_211  ,Obs. STM Perkapalan,2007,-6.96663,110.40179,433921,9229898,49M,125,20.39,3,996,8.69,1447,14,29.4,40.7,300,19.3,337,519.7,-0.5,Quaternary marine,sodium chloride
SB_219  ,Obs. LIK Kaligawe,2007,-6.95859,110.45524,439824,9230794,49M,120,36.69,3,3116,7.06,4650,24.5,38.9,197.3,680,45.8,1506.2,294.6,0.2,Quaternary marine,sodium chloride
SB_297  ,Obs. Unisula 2,2007,-6.95586,110.4597,440317,9231096,49M,107,16.47,2,15947,7.27,23900,17,730.4,1811.7,7200,40.5,15752.8,2262.9,1.8,Quaternary marine,sodium chloride
SB_347  ,Obs. Kec. Pedurungan,2007,-7.00926,110.46537,440950,9225194,49M,65,26.98,13,596,8.21,914,14.5,37,36,150,13.9,145.5,478.3,-2.2,Quaternary marine,sodium bicarbonate
SB_344  ,Desa Gemolak Kec. Sayung,2007,-6.93299,110.53415,448539,9233634,49M,126,7.75,1,656,11.6,1006,5,16.6,16.3,200,12.6,114.5,408.8,3.8,Quaternary marine,sodium bicarbonate
SB_217  ,Obs. Standart Battery,2007,-6.9836,110.33727,426797,9228013,49M,90,27.19,9,298,6.8,363,6.8,53.7,14.7,36.1,6.4,43.8,258.6,0.3,Damar,calcium bicarbonate
SP_139  ,Obs. Sumberejo,2007,-6.88791,110.5847,454118,9238622,49M,,7,4,668,7.9,1024,3,21.1,2.3,240,29.6,141.6,401.1,2.5,Quaternary marine,sodium bicarbonate
SP_138  ,Obs. Katon Sari,2007,-6.90987,110.61655,457639,9236198,49M,160,0.5,6,2328,7.32,3580,43.5,378,82.9,460,64.6,989.4,896.9,3.2,Quaternary marine,sodium chloride
SP_136  ,Obs. Batu,2007,-6.92833,110.5488,450157,9234150,49M,110,0.5,4,1200,8.34,1762,9.5,21.8,33.7,300,36.7,250.1,519.7,2.5,Quaternary marine,sodium bicarbonate
SB_348  ,Hotel Rahayu Kel. Purwosari,2007,-6.97085,110.42007,435941,9229434,49M,59,26.07,3,1436,7.98,1902,9,141.6,15.8,620,22.1,1003,241.3,4.2,Quaternary marine,sodium chloride
